test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,method
950025,-241.78822602943828,0.46,1738.8324927774904,41665.613470899996,CA-MADDPG-V2.2 three-seed mean
950026,-259.7884390433945,0.45,1854.135955202022,45617.511086640734,CA-MADDPG-V2.2 three-seed mean
950027,-243.05502946998016,0.4566666666666667,1627.626973905489,32913.7391858295,CA-MADDPG-V2.2 three-seed mean
950028,-243.08000073257358,0.4466666666666667,1865.1022384417201,43280.06159421633,CA-MADDPG-V2.2 three-seed mean
950029,-264.99255821902557,0.44333333333333336,1719.3323829115718,39956.017300741114,CA-MADDPG-V2.2 three-seed mean
950030,-218.98007585325695,0.4766666666666666,1530.1974028203642,36931.601361316665,CA-MADDPG-V2.2 three-seed mean
950031,-253.3027223669982,0.46,1738.2199196445988,40162.56152275582,CA-MADDPG-V2.2 three-seed mean
950032,-246.92542594463876,0.4366666666666667,1598.4713235710735,31384.815299887316,CA-MADDPG-V2.2 three-seed mean
950033,-212.4495601843802,0.5033333333333333,1780.5629752327397,40096.5551284014,CA-MADDPG-V2.2 three-seed mean
950034,-228.28718973464007,0.49,1761.488706506494,44234.638475748594,CA-MADDPG-V2.2 three-seed mean
950035,-223.93836955944195,0.49,1724.70406930902,40518.80919994821,CA-MADDPG-V2.2 three-seed mean
950036,-225.62818221728068,0.49333333333333335,1698.9273562497312,38266.800891686406,CA-MADDPG-V2.2 three-seed mean
950037,-229.79722647747974,0.47,1776.6240387485343,42002.073644965356,CA-MADDPG-V2.2 three-seed mean
950038,-157.02283821443586,0.58,1356.3566123557919,31406.748655406045,CA-MADDPG-V2.2 three-seed mean
950039,-187.22139763243104,0.51,1494.003270555447,31816.23800467802,CA-MADDPG-V2.2 three-seed mean
950040,-157.43149634395047,0.5666666666666667,1510.1381100709252,31464.857300748903,CA-MADDPG-V2.2 three-seed mean
950041,-258.30368342615225,0.42333333333333334,1884.5986106749745,42972.96763208841,CA-MADDPG-V2.2 three-seed mean
950042,-213.14672902547827,0.5,1684.7228115457244,38240.379899580235,CA-MADDPG-V2.2 three-seed mean
950043,-166.68192956156702,0.5533333333333333,1626.6348593457112,35726.7889171561,CA-MADDPG-V2.2 three-seed mean
950044,-177.72693293991838,0.5433333333333333,1440.8250505023987,32514.45014535578,CA-MADDPG-V2.2 three-seed mean
950045,-214.76006131294685,0.49,1620.2033306319827,41136.58287580367,CA-MADDPG-V2.2 three-seed mean
950046,-220.3328120451165,0.48666666666666664,1646.2680772195763,38044.70847078724,CA-MADDPG-V2.2 three-seed mean
950047,-241.5730377745709,0.45333333333333337,1540.532225221422,28405.36404626167,CA-MADDPG-V2.2 three-seed mean
950048,-257.66170690485234,0.45333333333333337,2034.622776919865,48977.299286412126,CA-MADDPG-V2.2 three-seed mean
950049,-238.25000758400753,0.4366666666666667,1875.7220107254045,40246.04273618933,CA-MADDPG-V2.2 three-seed mean
950050,-261.0011087093338,0.44,2131.0095302149707,50292.15825390652,CA-MADDPG-V2.2 three-seed mean
950051,-264.7807141712087,0.44,2026.97736576044,43992.57089978127,CA-MADDPG-V2.2 three-seed mean
950052,-198.70494915877552,0.5533333333333333,1539.4264255232385,33171.64225480114,CA-MADDPG-V2.2 three-seed mean
950053,-266.88882154649804,0.4466666666666667,1937.688437943645,51714.584271887026,CA-MADDPG-V2.2 three-seed mean
950054,-228.4744143372926,0.48666666666666664,1806.2784249012911,36833.68474383611,CA-MADDPG-V2.2 three-seed mean
950055,-239.0704023787747,0.4633333333333334,1732.328493905691,43499.086616200315,CA-MADDPG-V2.2 three-seed mean
950056,-226.14285851465624,0.48,1716.6529926577916,39120.985159295844,CA-MADDPG-V2.2 three-seed mean
950057,-176.2817043365442,0.5833333333333334,1586.6532905439456,36197.175427037124,CA-MADDPG-V2.2 three-seed mean
950058,-276.5327636427453,0.4366666666666667,2037.1027665927193,53448.37362835506,CA-MADDPG-V2.2 three-seed mean
950059,-196.76892833365218,0.52,1808.7846267617751,38476.21078745928,CA-MADDPG-V2.2 three-seed mean
950060,-199.22832441910705,0.5333333333333333,1660.5157577136179,36302.83644632827,CA-MADDPG-V2.2 three-seed mean
950061,-212.18058397595019,0.51,1743.3646867168047,42296.02556392554,CA-MADDPG-V2.2 three-seed mean
950062,-195.4425818444935,0.5233333333333333,1543.0572676176555,35595.29005626165,CA-MADDPG-V2.2 three-seed mean
950063,-279.96226761731606,0.41,2167.1572220217404,58145.90509014219,CA-MADDPG-V2.2 three-seed mean
950064,-237.57044827140996,0.47,1702.5463228922301,38849.5526131829,CA-MADDPG-V2.2 three-seed mean
950065,-225.8833571226713,0.47,1595.8380389528375,35211.52891494879,CA-MADDPG-V2.2 three-seed mean
950066,-195.4982380642907,0.51,1629.9992860043667,39341.4899909648,CA-MADDPG-V2.2 three-seed mean
950067,-248.90765405915238,0.4566666666666667,1894.1605952846637,41487.68862377471,CA-MADDPG-V2.2 three-seed mean
950068,-263.24596547579876,0.41333333333333333,2327.6390010696423,55330.227580529,CA-MADDPG-V2.2 three-seed mean
950069,-166.9084067593487,0.5566666666666668,1513.439758773519,35929.960010730305,CA-MADDPG-V2.2 three-seed mean
950070,-213.62222935921633,0.49333333333333335,1703.62691360204,37249.92944560235,CA-MADDPG-V2.2 three-seed mean
950071,-134.00280892122612,0.6033333333333334,1301.8759680216683,28672.050060122838,CA-MADDPG-V2.2 three-seed mean
950072,-218.64982159932882,0.5,1794.7566428568487,42791.41040591639,CA-MADDPG-V2.2 three-seed mean
950073,-225.48722087504598,0.4666666666666666,1841.8058556523592,36912.7613399315,CA-MADDPG-V2.2 three-seed mean
950074,-153.2532325150507,0.61,1505.6772806422907,33735.88910802672,CA-MADDPG-V2.2 three-seed mean
950075,-179.28861407671852,0.5633333333333334,1509.6664904064135,35425.49365176658,CA-MADDPG-V2.2 three-seed mean
950076,-206.4038586006095,0.49666666666666665,1469.5578509941768,32540.663961640403,CA-MADDPG-V2.2 three-seed mean
950077,-193.6013064904921,0.5233333333333333,1612.5869032984165,38159.466411431495,CA-MADDPG-V2.2 three-seed mean
950078,-247.45233256435154,0.45,1793.0820199613754,42402.337794439816,CA-MADDPG-V2.2 three-seed mean
950079,-193.96684640442922,0.49333333333333335,1355.9826804504453,28590.419419140282,CA-MADDPG-V2.2 three-seed mean
950080,-283.1784657407668,0.4166666666666667,1943.60053588891,51948.7395269208,CA-MADDPG-V2.2 three-seed mean
950081,-229.939535776866,0.47333333333333333,1692.3529617258694,41167.886807382885,CA-MADDPG-V2.2 three-seed mean
950082,-143.42727933929754,0.5966666666666667,1505.7706631691997,33717.03509466833,CA-MADDPG-V2.2 three-seed mean
950083,-242.53539243736813,0.46,1556.9618231559427,35397.48199906854,CA-MADDPG-V2.2 three-seed mean
950084,-182.93816252566216,0.52,1695.6356040154449,40793.97538518994,CA-MADDPG-V2.2 three-seed mean
950085,-190.33888465421978,0.5033333333333333,1510.565469545563,34638.507313319795,CA-MADDPG-V2.2 three-seed mean
950086,-182.37289870577987,0.5166666666666667,1460.5183372029244,34935.99304923025,CA-MADDPG-V2.2 three-seed mean
950087,-199.54393942302485,0.52,1595.1132421264601,36897.47622866427,CA-MADDPG-V2.2 three-seed mean
950088,-256.8734233849336,0.44,1718.8045415612348,39536.770616912836,CA-MADDPG-V2.2 three-seed mean
950089,-140.95536932642864,0.6133333333333333,1431.3151618840177,34730.527313414736,CA-MADDPG-V2.2 three-seed mean
950090,-236.92598770177094,0.44333333333333336,2093.548665733666,49457.533333453146,CA-MADDPG-V2.2 three-seed mean
950091,-256.88052482689494,0.4166666666666667,1710.3988701183055,40873.547013164614,CA-MADDPG-V2.2 three-seed mean
