training_seed,saved_episode,test_seed,method,reward,success_rate,mean_latency_ms,mean_energy_mJ
43,10,950053,CA-MADDPG-V2.2 Seed 43,-267.46639119453215,0.44,1897.7553436827775,50511.32812014718
43,10,950054,CA-MADDPG-V2.2 Seed 43,-230.29468501466482,0.48,1791.736766101073,36445.45804630909
43,10,950055,CA-MADDPG-V2.2 Seed 43,-233.50421005185873,0.47,1709.648335980932,42834.016937332955
43,10,950056,CA-MADDPG-V2.2 Seed 43,-223.71079285916528,0.48,1702.8262066466527,38880.575510323404
43,10,950057,CA-MADDPG-V2.2 Seed 43,-170.4656778350433,0.59,1562.0379113219428,35511.54944326983
43,10,950058,CA-MADDPG-V2.2 Seed 43,-276.8897020654065,0.43,1995.0965347151077,52180.67267606593
43,10,950059,CA-MADDPG-V2.2 Seed 43,-193.95386529439187,0.52,1787.7755373922382,37928.67541488623
43,10,950060,CA-MADDPG-V2.2 Seed 43,-193.88778703730966,0.54,1637.6249173971314,35673.83945069884
43,10,950061,CA-MADDPG-V2.2 Seed 43,-206.12781408170835,0.52,1719.0757232705575,41674.598450096775
43,10,950062,CA-MADDPG-V2.2 Seed 43,-191.40302167033408,0.53,1528.6299526235225,35238.45233493991
43,10,950063,CA-MADDPG-V2.2 Seed 43,-278.57158327122136,0.41,2159.4695930145785,58241.21394540206
43,10,950064,CA-MADDPG-V2.2 Seed 43,-235.73799343506417,0.47,1678.6336132587517,38168.44912504716
43,10,950065,CA-MADDPG-V2.2 Seed 43,-223.88884099723728,0.47,1584.5709566390892,35044.520547460605
43,10,950066,CA-MADDPG-V2.2 Seed 43,-192.09131782843664,0.51,1611.981285481712,38918.132665022036
43,10,950067,CA-MADDPG-V2.2 Seed 43,-242.86848992702684,0.47,1885.9081136294583,41397.138905897926
43,10,950068,CA-MADDPG-V2.2 Seed 43,-256.943133865667,0.42,2305.7656320805386,55067.989597485954
43,10,950069,CA-MADDPG-V2.2 Seed 43,-166.47718552818387,0.55,1490.822915664106,35184.396277537075
43,10,950070,CA-MADDPG-V2.2 Seed 43,-207.81779976906253,0.5,1687.960808121522,36942.48026289835
43,10,950071,CA-MADDPG-V2.2 Seed 43,-127.96644560757031,0.61,1289.0473170158539,28368.8865905695
43,10,950072,CA-MADDPG-V2.2 Seed 43,-216.02573680975573,0.5,1764.7647330207512,41905.751179140556
43,10,950073,CA-MADDPG-V2.2 Seed 43,-224.85655962220756,0.46,1833.6784333775583,36863.344757126295
43,10,950074,CA-MADDPG-V2.2 Seed 43,-152.69287854133427,0.61,1495.079104990908,33480.63346149871
43,10,950075,CA-MADDPG-V2.2 Seed 43,-172.70390245196901,0.57,1488.615376437819,34881.51219542516
43,10,950076,CA-MADDPG-V2.2 Seed 43,-202.58006306566688,0.5,1454.833268212711,32138.539854225804
43,10,950077,CA-MADDPG-V2.2 Seed 43,-188.1350928610846,0.53,1586.506877866697,37369.69724708011
43,10,950078,CA-MADDPG-V2.2 Seed 43,-245.56664793978894,0.45,1781.1184927249553,42268.54739471398
