method,selected_uav,resource_level,test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ
Fixed uav_U1 resource 0.98,uav_U1,0.98,950006,-221.9015692431132,0.51,1865.487209076941,46462.63275356731
Fixed uav_U1 resource 0.98,uav_U1,0.98,950007,-132.48143355722655,0.61,1371.7923620793401,30509.08639319818
Fixed uav_U1 resource 0.98,uav_U1,0.98,950008,-263.55134466696734,0.42,1943.3090218260293,44822.91032352396
Fixed uav_U1 resource 0.98,uav_U1,0.98,950009,-187.04066444565234,0.54,1711.921109068826,40230.349163021
Fixed uav_U1 resource 0.98,uav_U1,0.98,950010,-183.83842024233022,0.56,1515.2382887289036,35022.388611072696
Fixed uav_U1 resource 0.98,uav_U1,0.98,950011,-179.38330828270247,0.56,1631.375212982281,41298.919993732015
Fixed uav_U1 resource 0.98,uav_U1,0.98,950012,-245.57490218453148,0.44,1728.7168835621678,38018.654169352936
Fixed uav_U1 resource 0.98,uav_U1,0.98,950013,-218.2366198308724,0.47,1594.1461772712144,34481.001494961194
Fixed uav_U1 resource 0.98,uav_U1,0.98,950014,-144.19786180738632,0.62,1557.111043383362,34356.99782996107
Fixed uav_U1 resource 0.98,uav_U1,0.98,950015,-221.85677372776195,0.51,1696.7110553636187,40246.07824183872
Fixed uav_U1 resource 0.98,uav_U1,0.98,950016,-249.70248352262738,0.43,1594.4092106190917,31213.865884567076
Fixed uav_U1 resource 0.98,uav_U1,0.98,950017,-257.1418467790863,0.43,2005.6640135842854,44227.24664286554
Fixed uav_U1 resource 0.98,uav_U1,0.98,950018,-205.29059127424304,0.5,1445.6377957183938,30453.476195335523
Fixed uav_U1 resource 0.98,uav_U1,0.98,950019,-212.32564054574698,0.51,1755.2894895497475,41468.904532473316
Fixed uav_U1 resource 0.98,uav_U1,0.98,950020,-184.33528945855483,0.51,1319.4251950799912,29119.137946530613
Fixed uav_U1 resource 0.98,uav_U1,0.98,950021,-188.17744366574814,0.53,1485.9692176394517,31639.929454555313
Fixed uav_U1 resource 0.98,uav_U1,0.98,950022,-187.62768669847048,0.54,1523.292249902534,29727.290398227116
Fixed uav_U1 resource 0.98,uav_U1,0.98,950023,-208.08428970382772,0.49,2039.8512780280998,47824.08682234149
Fixed uav_U1 resource 0.98,uav_U1,0.98,950024,-195.2257994559853,0.53,1594.6785794775228,32894.002563802416
Fixed uav_U1 resource 0.98,uav_U1,0.98,950025,-242.88624477160573,0.46,1755.2708238475066,41209.35014080436
Fixed uav_U1 resource 0.98,uav_U1,0.98,950026,-261.85549601194066,0.45,1876.0730792871107,45190.35519360026
Fixed uav_U1 resource 0.98,uav_U1,0.98,950027,-255.6226472474601,0.43,1643.7435858435724,32569.295812874654
Fixed uav_U1 resource 0.98,uav_U1,0.98,950028,-246.91555631748017,0.44,1881.7475477799767,42784.30150063688
Fixed uav_U1 resource 0.98,uav_U1,0.98,950029,-268.53620576550253,0.44,1739.398594201196,39581.86520802078
Fixed uav_U1 resource 0.98,uav_U1,0.98,950030,-223.01156763552837,0.47,1548.400129891191,36554.998675595976
Fixed uav_U1 resource 0.98,uav_U1,0.98,950031,-255.60728343378534,0.46,1760.062383033998,39867.55071223713
Fixed uav_U1 resource 0.98,uav_U1,0.98,950032,-259.64609848979194,0.41,1613.6898731349474,31057.107976447485
Fixed uav_U1 resource 0.98,uav_U1,0.98,950033,-214.97301725605837,0.5,1793.4840806027644,39528.386560634215
Fixed uav_U1 resource 0.98,uav_U1,0.98,950034,-234.1126422073956,0.48,1782.074721676973,43849.84028653778
Fixed uav_U1 resource 0.98,uav_U1,0.98,950035,-229.83818659199602,0.48,1748.1780965554167,40254.29804262227
Fixed uav_U1 resource 0.98,uav_U1,0.98,950036,-228.3711289061992,0.49,1719.6444818609339,37973.88133299353
Fixed uav_U1 resource 0.98,uav_U1,0.98,950037,-231.56647579528627,0.47,1791.263158176619,41479.26309511301
Fixed uav_U1 resource 0.98,uav_U1,0.98,950038,-159.30053084396536,0.58,1371.081973332076,31027.922950753316
Fixed uav_U1 resource 0.98,uav_U1,0.98,950039,-189.18357017737208,0.51,1509.612790695492,31485.68603997077
Fixed uav_U1 resource 0.98,uav_U1,0.98,950040,-162.0417248166617,0.56,1526.2656310421828,31176.73035623411
Fixed uav_U1 resource 0.98,uav_U1,0.98,950041,-264.8226039729531,0.41,1902.8276391161855,42523.240368654515
Fixed uav_U1 resource 0.98,uav_U1,0.98,950042,-214.8317023009963,0.5,1705.552902069983,37974.36898758328
Fixed uav_U1 resource 0.98,uav_U1,0.98,950043,-169.61224065040756,0.55,1643.2193110361195,35350.233619018
Fixed uav_U1 resource 0.98,uav_U1,0.98,950044,-180.1443668744787,0.54,1453.1894421390473,32097.890312943957
Fixed uav_U1 resource 0.98,uav_U1,0.98,950045,-220.35449307039505,0.48,1633.6064994160288,40510.0238940067
Fixed uav_U1 resource 0.98,uav_U1,0.98,950046,-224.984610576899,0.48,1669.5210433154946,37854.17547865903
Fixed uav_U1 resource 0.98,uav_U1,0.98,950047,-248.2332369733571,0.44,1553.930464549305,28121.297201573496
Fixed uav_U1 resource 0.98,uav_U1,0.98,950048,-260.62001708542664,0.45,2056.347530175651,48532.638024914646
Fixed uav_U1 resource 0.98,uav_U1,0.98,950049,-243.15352772659006,0.43,1897.2802167475938,39984.81346263884
