test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,training_seed,saved_episode
950060,-200.41870392757127,0.53,1646.0176832583495,37459.49314052503,42,30
950061,-211.2516578162862,0.51,1729.2089919960674,43608.072039356266,42,30
950062,-191.761395468213,0.53,1525.7139269677032,36618.78621352927,42,30
950063,-278.76642992483977,0.41,2137.0230948621993,59579.19035757642,42,30
950064,-236.70086473294052,0.47,1688.7338226388936,40086.98857352375,42,30
950065,-224.87076064804964,0.47,1575.9752157876478,36116.292318419786,42,30
950066,-195.3602126277318,0.51,1613.8951717029731,40458.091980763274,42,30
950067,-242.32964171728983,0.47,1867.7971277835306,42532.26230876565,42,30
950068,-256.63459508414775,0.43,2301.63203023558,56804.252911603005,42,30
950069,-165.38911688982768,0.56,1501.8919795415795,37132.08155579643,42,30
950070,-214.8235500992296,0.49,1684.2475398430224,38279.61262635837,42,30
950071,-135.7161462163367,0.6,1288.8292796632543,29474.64804905267,42,30
950072,-218.48424672191314,0.5,1782.2952716634773,44218.41516764508,42,30
950073,-224.10675411512815,0.47,1816.6411908925757,37783.35629723813,42,30
950074,-152.14313968861265,0.61,1486.7083004961607,34680.54873480735,42,30
950075,-176.79116826695804,0.57,1496.812150593905,36521.49946380907,42,30
950076,-204.4436345748933,0.5,1453.4072521178584,33513.579626807405,42,30
950077,-194.64696428838428,0.52,1601.1140947796912,39432.69382467782,42,30
950078,-242.28776495408272,0.46,1770.3249945001921,43513.56692595253,42,30
950079,-194.5408037728879,0.49,1343.1845285973445,29493.137272838732,42,30
950080,-281.8169373618626,0.42,1930.9903728040642,53658.50714250349,42,30
950081,-226.2015576602685,0.48,1672.2615026780231,42228.58050649157,42,30
950082,-142.08608869068775,0.6,1491.7979884954575,34733.55670359436,42,30
950083,-241.34572906105706,0.46,1539.1542433093427,36398.24704049094,42,30
950084,-178.83807390077288,0.53,1678.2000000129788,41979.67126810404,42,30
950085,-186.07371245999897,0.51,1488.2056890960282,35510.426052062794,42,30
950086,-179.6637387065859,0.52,1441.5805119067093,35863.66312382803,42,30
950087,-199.57578407090466,0.52,1583.772761065403,38172.5716548347,42,30
950088,-255.52738370369494,0.44,1698.17737539145,40724.63247978592,42,30
950089,-138.314250260951,0.62,1419.344573624885,35801.811739169396,42,30
950090,-229.85733592876994,0.46,2071.2491725788386,50835.32187719099,42,30
950091,-255.2097414904505,0.42,1695.9319599238609,42148.006132679766,42,30
950092,-204.98981371389223,0.51,1592.423618144916,41237.791591185,42,30
950093,-224.938888817247,0.5,1736.800079316437,42274.54700133985,42,30
950094,-195.42228971885365,0.5,1486.0605795741926,36315.596563609106,42,30
950095,-249.96689531965504,0.42,1506.66044596827,35681.98493743657,42,30
950096,-261.4170508618675,0.43,1631.5424632536874,30598.715922294545,42,30
950097,-250.9528961106357,0.43,2225.4674644407796,54684.240898807795,42,30
950098,-193.2623490481934,0.54,1566.946842133582,35747.826152463414,42,30
950099,-225.38129706786773,0.48,1814.937363681625,40776.90042052953,42,30
950000,-232.08016802767222,0.46,1495.8109092802595,34684.80908683422,43,30
950001,-247.56738154956608,0.44,1568.1007329956092,32559.789328116174,43,30
950002,-187.5432397473381,0.5,1315.0056342069706,28504.29290660806,43,30
950003,-205.32688001776117,0.52,1644.2221461890992,34162.1379103925,43,30
950004,-211.97648535639277,0.51,1734.3669263322395,43135.3997156527,43,30
950005,-254.5077378892891,0.46,1773.8443695225787,46941.69199794139,43,30
950006,-219.78746060534309,0.51,1828.2341330717663,48372.35754032996,43,30
950007,-130.2577072299397,0.61,1344.416708640109,31762.12763339795,43,30
950008,-261.4803685162599,0.42,1904.5240685244548,46664.517237002285,43,30
950009,-184.88470897420316,0.54,1677.7347895160265,41883.40221752631,43,30
950010,-177.58981323804366,0.57,1485.0146802648037,36461.09432394306,43,30
950011,-177.22246543140378,0.56,1598.8209914472845,42996.490163440045,43,30
950012,-238.9552797452081,0.45,1694.26325584464,39579.83746418782,43,30
950013,-211.91701813595995,0.48,1562.3205773474433,35896.85338373222,43,30
950014,-142.46135261890132,0.62,1526.0732366286795,35768.00594328283,43,30
950015,-219.44568853251624,0.51,1662.848006118663,41899.749490212685,43,30
950016,-235.0550717745152,0.46,1562.5799366919828,32494.545705806682,43,30
950017,-255.06332599150565,0.43,1965.616496645983,46043.648609521246,43,30
950018,-198.8927375224908,0.51,1416.8178371695803,31703.81504542153,43,30
950019,-205.7045944188998,0.52,1720.2334308664688,43172.86095116716,43,30
950020,-181.97414405642488,0.51,1293.0830983601143,30315.022529987822,43,30
950021,-186.0787081813067,0.53,1456.3044248463402,32938.95185460865,43,30
950022,-181.57587095624615,0.55,1492.9252011504566,30947.024388966372,43,30
950023,-205.8746830831305,0.49,1999.1581065418254,49789.07602067343,43,30
950024,-193.19071140484718,0.53,1562.9022947650255,34244.24480144415,43,30
950025,-240.50970564302332,0.46,1720.2856681512023,42902.57415053671,43,30
950026,-259.4232073053626,0.45,1838.5975546343734,47047.393236063515,43,30
950027,-240.95702605088803,0.46,1610.9325394266325,33905.709091952296,43,30
950028,-240.46451030011244,0.45,1844.1936617261758,44541.853276364775,43,30
950029,-266.1529645173214,0.44,1704.6972853110417,41207.83763248591,43,30
950030,-216.68123345489533,0.48,1517.5041347994948,38056.989639114414,43,30
950031,-249.21354006023068,0.47,1724.9508062262205,41505.17687507236,43,30
950032,-245.0598578961868,0.44,1581.476498457275,32331.137180892,43,30
950033,-208.88214842234535,0.51,1757.749430015707,41151.74261809853,43,30
950034,-227.99926731973716,0.49,1746.5405105016284,45651.94717279001,43,30
950035,-223.20694746271954,0.49,1713.2662519366233,41907.997524882165,43,30
950036,-226.188254688036,0.49,1685.3057758937648,39533.51110592728,43,30
950037,-225.08620488961748,0.48,1755.5573724764001,43183.28271182978,43,30
