seed,method,reward,success_rate,latency_ms,energy_mJ
930024,MADDPG,-228.34275880186806,0.49,1809.084495272367,44707.0155754221
930025,Random allocation,-259.53167388961583,0.41,2467.833213191587,84139.11995751016
930025,Latency heuristic,-206.17767599449525,0.49,1499.6543833736862,35726.060800879255
930025,MADDPG,-213.9300377537721,0.48,1551.960204681368,38346.6380538537
930026,Random allocation,-257.883123428747,0.39,2277.953963735498,66134.04243749933
930026,Latency heuristic,-217.04705691322755,0.48,1560.858830609103,30274.492694157405
930026,MADDPG,-220.34114742931447,0.48,1605.1168275098019,32492.684448756623
930027,Random allocation,-232.7839590213955,0.45,2914.6911068048917,104636.70599521749
930027,Latency heuristic,-184.70301543898384,0.54,1621.74514108198,39985.22404272279
930027,MADDPG,-188.179529269821,0.54,1680.3148288894495,42918.72742151925
930028,Random allocation,-325.72769846746183,0.34,3290.1974182470185,116816.42518616945
930028,Latency heuristic,-263.91938401854264,0.45,1884.421802671814,46523.43707223623
930028,MADDPG,-268.0091443543518,0.45,1952.5650021571973,49936.498544222115
930029,Random allocation,-292.6015148542604,0.36,2742.9840321138768,95705.37546342061
930029,Latency heuristic,-255.04826025054322,0.41,1627.9519805051686,39949.301402973826
930029,MADDPG,-259.4713425980456,0.41,1686.4618850364343,42880.05620997799
930030,Random allocation,-256.4973867143216,0.39,2322.573188569509,73445.49752622942
930030,Latency heuristic,-198.15957917790382,0.52,1559.9543899308014,35309.34662567044
930030,MADDPG,-205.30013270608467,0.51,1611.6368877991924,37898.67287815712
930031,Random allocation,-267.8203224668035,0.38,2234.333378197014,63597.38319511503
930031,Latency heuristic,-214.45202377466507,0.48,1579.1623097709055,30833.45366467073
930031,MADDPG,-217.8073694004083,0.48,1624.238003245975,33092.84579687098
930032,Random allocation,-204.37840496293276,0.47,2391.708405084179,81804.61936635016
930032,Latency heuristic,-139.72414005000195,0.6,1366.463485278258,30538.064449913432
930032,MADDPG,-151.36747134163335,0.58,1411.1513946824448,32777.36127317056
930033,Random allocation,-297.2999574508052,0.35,2772.506699702141,93124.04055891157
930033,Latency heuristic,-236.0594868234151,0.47,1708.5033374217592,39919.38744478367
930033,MADDPG,-243.88174492041657,0.46,1766.9530296166836,42847.221767803225
930034,Random allocation,-317.30174019734164,0.31,3922.0653874396016,140530.19378704223
930034,Latency heuristic,-231.454578921744,0.48,2208.4284518326454,54843.499509366295
930034,MADDPG,-243.61268325829792,0.46,2288.787961726644,58867.088294634
930035,Random allocation,-252.9211113697957,0.4,2446.591294513504,79828.94966106382
930035,Latency heuristic,-190.5852885094642,0.53,1571.7885121779684,36083.8792627852
930035,MADDPG,-197.4639647067989,0.52,1624.6078691547189,38730.2478800477
930036,Random allocation,-303.90613359233697,0.35,3004.1637881340225,100121.54967484038
930036,Latency heuristic,-245.138097538782,0.46,1878.2772122383537,43821.88873336997
930036,MADDPG,-257.0717723024055,0.44,1942.4374538871834,47036.01212653432
930037,Random allocation,-269.8586793558401,0.4,2490.583657395946,81924.52655696524
930037,Latency heuristic,-237.55065610271663,0.46,1645.4366073750507,39662.973398981056
930037,MADDPG,-241.732075033464,0.46,1703.5259621202342,42572.64203388769
930038,Random allocation,-255.951881874646,0.4,2415.360161620694,76079.73726743355
930038,Latency heuristic,-214.97290566646754,0.49,1629.956780142465,36804.5254149873
930038,MADDPG,-222.71434292705368,0.48,1683.8365736642809,39503.461713730845
930039,Random allocation,-295.14451068243585,0.33,2413.738131856675,76194.23122460468
930039,Latency heuristic,-221.76675611113524,0.47,1605.346904041735,35769.30289346073
930039,MADDPG,-225.65952405180508,0.47,1657.6850941995458,38392.00201888157
930040,Random allocation,-209.5372782897506,0.49,2083.3464678854593,67225.76320171011
930040,Latency heuristic,-159.0636728365062,0.59,1397.3633676624509,32922.50423516694
930040,MADDPG,-162.48251098815663,0.59,1445.5648832097818,35337.08519484767
930041,Random allocation,-331.28291307103797,0.29,2617.050644692694,82869.31327750483
930041,Latency heuristic,-230.29350181103854,0.48,1587.1257964701622,31367.931713669495
930041,MADDPG,-254.19590352590922,0.43,1632.996288824902,33666.56589042508
930042,Random allocation,-233.43801131529366,0.45,2511.6930566963683,83455.47942004661
930042,Latency heuristic,-185.2340449817689,0.54,1654.2578048173903,40578.98802853293
930042,MADDPG,-188.7196592195302,0.54,1713.6960480219016,43555.99047954715
930043,Random allocation,-223.76558186434426,0.46,2363.5213095255067,80816.57463034906
930043,Latency heuristic,-167.52682102419516,0.58,1421.2364749160768,33697.68047663944
930043,MADDPG,-170.9382206636626,0.58,1470.5752323664512,36169.24595381813
930044,Random allocation,-285.33708263265356,0.38,2629.5186424575722,92322.28085507214
930044,Latency heuristic,-238.4663371474989,0.43,1534.5670418822933,37569.88262102884
930044,MADDPG,-242.622459794455,0.43,1589.5893402514264,40326.04164098981
930045,Random allocation,-314.9955372181956,0.31,2468.2599102225754,80110.57447264371
930045,Latency heuristic,-246.725745242219,0.43,1584.6615821661474,35925.57898129258
930045,MADDPG,-255.08891629770278,0.42,1637.2446561701884,38560.082688031776
930046,Random allocation,-288.36098803415433,0.36,2788.636077715107,93935.62170177037
930046,Latency heuristic,-255.64128658670336,0.43,1845.8029738273733,46789.51782104459
930046,MADDPG,-263.7701860260448,0.42,1914.3521180008674,50222.5388384929
930047,Random allocation,-249.26345011437502,0.4,2256.6592041447284,68527.14981442638
930047,Latency heuristic,-205.04599871665704,0.49,1487.7083592430436,30074.348253998338
930047,MADDPG,-212.51130899582282,0.48,1531.6809358620706,32278.43088017055
930048,Random allocation,-266.9394876673723,0.38,2627.084744134088,87483.51838904926
930048,Latency heuristic,-201.21800921221376,0.5,1556.6558814665698,33957.856847717325
930048,MADDPG,-208.79864102971447,0.49,1606.357827848975,36447.758126631714
930049,Random allocation,-275.2758599645519,0.38,2787.3691252901144,90831.99751188768
930049,Latency heuristic,-247.75727213836012,0.44,1863.4087380363283,44628.775253151485
930049,MADDPG,-259.02629853253825,0.42,1928.771472179353,47902.5432799551
