method,saved_episode,test_seed,step,reward,success,latency_ms,energy_mJ,selected_agent,selected_cpu_fraction,selected_bandwidth_fraction,mean_cpu_fraction,mean_bandwidth_fraction,selection_score_gap,selection_entropy,low_resource_action,near_saturated_resource
MADDPG Seed 42,30,970000,12,1.177548226764226,1,595.0759916017561,16482.070874907215,uav_U1,1.0,1.0,0.7589305639266968,0.7359751462936401,0.0001628398895263672,0.953477958706643,0,1
MADDPG Seed 42,30,970000,13,-4.826408573160748,0,2842.7583310240475,42295.72613438976,uav_U1,1.0,0.9999998807907104,0.5829691290855408,0.6301364898681641,1.6689300537109375e-05,0.970027065342488,0,1
MADDPG Seed 42,30,970000,14,0.5212659180002139,1,1170.4554738500208,18025.904084617872,uav_U1,0.9999997615814209,0.9999996423721313,0.7900205850601196,0.7180536985397339,0.00012803077697753906,0.9564700660130181,0,1
MADDPG Seed 42,30,970000,15,-4.29562487668322,0,1659.0721085287785,27567.564404486537,uav_U1,1.0,0.9999998807907104,0.5464276075363159,0.7463675737380981,6.878376007080078e-05,0.973182979056403,0,1
MADDPG Seed 42,30,970000,16,0.9507209251991449,1,301.5035979596343,6680.4331205196495,uav_U1,1.0,0.9999998807907104,0.6916940212249756,0.7558138370513916,0.00017565488815307617,0.9602029261888885,0,1
MADDPG Seed 42,30,970000,17,-3.9937452105157316,0,2285.2882286922613,21990.098831336916,uav_U1,1.0,1.0,0.6380313634872437,0.6953451633453369,0.00012695789337158203,0.9605424465493967,0,1
MADDPG Seed 42,30,970000,18,0.7355320606396956,1,1113.6957904727574,43737.32777876641,uav_U1,1.0,1.0,0.6334768533706665,0.7364875078201294,0.00016176700592041016,0.9620542906432605,0,1
MADDPG Seed 42,30,970000,19,0.7590955520523777,1,527.4583334304755,11041.018874789414,uav_U1,0.9999998807907104,0.9999997615814209,0.7911279797554016,0.7405831217765808,0.000534355640411377,0.9545116371936674,0,1
MADDPG Seed 42,30,970000,20,1.2387466135958978,1,334.0248893276942,4494.571512999233,uav_U1,0.9999998807907104,0.9999997615814209,0.6671777963638306,0.7522075176239014,0.00011157989501953125,0.9598997497279042,0,1
MADDPG Seed 42,30,970000,21,1.2989942934201966,1,364.25649058504035,11809.235183185443,uav_U1,1.0,0.9999998807907104,0.678668200969696,0.6185648441314697,0.00010216236114501953,0.9597745651851001,0,1
MADDPG Seed 42,30,970000,22,1.2901722137177005,1,134.8601167503394,5043.9686163879605,uav_U1,1.0,0.9999998807907104,0.6834273338317871,0.6487316489219666,0.00021606683731079102,0.9578700827237319,0,1
MADDPG Seed 42,30,970000,23,-3.6226069238624303,0,1903.7840506471064,16426.96535091775,uav_U1,0.9999998807907104,0.9999997615814209,0.698768675327301,0.7175137996673584,4.2438507080078125e-05,0.9566636930560648,0,1
MADDPG Seed 42,30,970000,24,1.0394278140909796,1,543.3661969810903,8261.05423676992,uav_U1,1.0,0.9999998807907104,0.6487125158309937,0.7384470701217651,2.3365020751953125e-05,0.9582880893401916,0,1
MADDPG Seed 42,30,970000,25,1.3200655296144523,1,329.65130426292694,13321.008969808718,uav_U1,1.0,0.9999998807907104,0.732073187828064,0.7826760411262512,0.0004495978355407715,0.9708479611699075,0,1
MADDPG Seed 42,30,970000,26,1.055950311157057,1,705.4487519355902,24652.91519717356,uav_U1,1.0,0.9999998807907104,0.7933001518249512,0.7584494948387146,0.0003409385681152344,0.9667477273316146,0,1
MADDPG Seed 42,30,970000,27,0.8992600044744019,1,6004.634545202139,121225.52369848029,uav_U1,1.0,0.9999998807907104,0.6593118906021118,0.7098468542098999,0.0001907944679260254,0.9497273925284404,0,1
MADDPG Seed 42,30,970000,28,-4.618104840987253,0,1878.6767278525867,18637.060736414518,uav_U1,1.0,1.0,0.5933595895767212,0.7032527923583984,0.00016450881958007812,0.9633561477620982,0,1
