test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,method,saved_episode
950030,-250.81518536140857,0.44,2172.1396428075577,53016.02451387859,CA-MADDPG Seed 42 final,30
950031,-300.58918679200633,0.39,2425.4750971585104,61336.928744116456,CA-MADDPG Seed 42 final,30
950032,-286.0450865817791,0.39,2055.2489879947407,39713.43439692652,CA-MADDPG Seed 42 final,30
950033,-203.6908202005658,0.51,2094.775284291511,57882.88363658102,CA-MADDPG Seed 42 final,30
950034,-249.6555755904469,0.44,2195.140718267622,68046.57031991823,CA-MADDPG Seed 42 final,30
950035,-297.23596478845894,0.4,2737.4050825647096,65269.0817470764,CA-MADDPG Seed 42 final,30
950036,-282.0449594589057,0.39,2159.8723756235927,54401.50013109667,CA-MADDPG Seed 42 final,30
950037,-247.68024727582883,0.43,2050.720578449805,57804.27277805467,CA-MADDPG Seed 42 final,30
950038,-178.7436057055866,0.54,1603.6029090460388,44159.05371684557,CA-MADDPG Seed 42 final,30
950039,-250.17769832475946,0.42,2123.0287404824335,48657.6455769799,CA-MADDPG Seed 42 final,30
950040,-213.25719987838488,0.45,2025.9603384761847,46869.476438811726,CA-MADDPG Seed 42 final,30
950041,-283.85161540956994,0.37,2080.913443717552,54475.668682691045,CA-MADDPG Seed 42 final,30
950042,-256.8358629030938,0.42,2099.126707778973,58036.48583983914,CA-MADDPG Seed 42 final,30
950043,-207.53505988935927,0.48,2146.6714437289147,54688.63886071423,CA-MADDPG Seed 42 final,30
950044,-181.41316451868187,0.53,1799.6158423514726,42608.51278456059,CA-MADDPG Seed 42 final,30
950045,-220.4981564935688,0.46,1956.4522208034587,59590.20700571877,CA-MADDPG Seed 42 final,30
950046,-280.16886181168263,0.41,2293.7258732635596,60616.851779009776,CA-MADDPG Seed 42 final,30
950047,-281.58150728741646,0.38,1829.888343382124,37473.724618208864,CA-MADDPG Seed 42 final,30
950048,-279.8408667401936,0.4,2217.35756797336,59880.29477518465,CA-MADDPG Seed 42 final,30
950049,-277.8090679615605,0.41,2906.0844807524995,63947.108149866006,CA-MADDPG Seed 42 final,30
950050,-275.2132337389875,0.41,2618.811367675912,77288.66090821118,CA-MADDPG Seed 42 final,30
950051,-291.4289899516553,0.37,2619.9618305378463,58606.37596831625,CA-MADDPG Seed 42 final,30
950052,-236.00429359698563,0.48,1969.8051194637828,48488.435580679194,CA-MADDPG Seed 42 final,30
950053,-296.11820751292765,0.4,2455.3336283008575,77694.9336675438,CA-MADDPG Seed 42 final,30
950054,-237.49101346304442,0.47,1974.7101187221083,45274.12207761625,CA-MADDPG Seed 42 final,30
950055,-274.1943906640378,0.4,2114.21620568952,62434.55274529243,CA-MADDPG Seed 42 final,30
950056,-239.63410345121736,0.44,1974.3665321981543,54091.337191040664,CA-MADDPG Seed 42 final,30
950057,-221.19292734978148,0.49,3132.8354566465523,54017.137720235725,CA-MADDPG Seed 42 final,30
950058,-305.17117662655824,0.39,2554.834072929221,79420.47547663256,CA-MADDPG Seed 42 final,30
950059,-241.6770847974613,0.44,2213.6505924841795,57994.112838842884,CA-MADDPG Seed 42 final,30
950060,-221.48462332739922,0.49,2018.6244585144807,53173.62694767107,CA-MADDPG Seed 42 final,30
950061,-287.3513950804694,0.4,2916.099688165329,67177.88762187722,CA-MADDPG Seed 42 final,30
950062,-195.47152958917025,0.51,1794.1285007199342,49148.86454514776,CA-MADDPG Seed 42 final,30
950063,-290.8802846515946,0.39,2658.7845276017433,85525.75295714293,CA-MADDPG Seed 42 final,30
950064,-280.99525676975145,0.38,2393.6446652808354,49898.782017620644,CA-MADDPG Seed 42 final,30
950065,-241.53034135840917,0.42,1958.5436479570415,43948.176568963434,CA-MADDPG Seed 42 final,30
950066,-219.28817892193595,0.47,1984.82075806632,57348.151251101765,CA-MADDPG Seed 42 final,30
950067,-245.63439492464195,0.45,2252.781316489813,59920.29421472093,CA-MADDPG Seed 42 final,30
950068,-268.1836403004811,0.4,2856.678479290023,84068.23171804738,CA-MADDPG Seed 42 final,30
950069,-219.46775789898126,0.47,1998.972331448884,60818.18946524017,CA-MADDPG Seed 42 final,30
950070,-221.70817899550175,0.47,2087.6133270540695,50250.23209140796,CA-MADDPG Seed 42 final,30
950071,-172.59614530215393,0.54,1603.178870977227,42490.762777508106,CA-MADDPG Seed 42 final,30
950072,-263.34773054089646,0.44,2610.2525996037157,72591.62160268704,CA-MADDPG Seed 42 final,30
950073,-278.0566295127386,0.38,2349.1451125853,57979.65955735427,CA-MADDPG Seed 42 final,30
950074,-158.61385824033704,0.59,1719.1515630458348,44677.54457366902,CA-MADDPG Seed 42 final,30
950075,-240.1593392389511,0.45,2086.5502477264813,58702.96636191473,CA-MADDPG Seed 42 final,30
950076,-226.45886783187103,0.44,1702.3697260000147,45511.509864010826,CA-MADDPG Seed 42 final,30
950077,-235.1088351947519,0.46,2031.4627678601664,55690.66938081453,CA-MADDPG Seed 42 final,30
950078,-256.6905458273472,0.43,2145.134323688061,62072.000486334946,CA-MADDPG Seed 42 final,30
950079,-201.76142849139163,0.48,1525.4308269435066,36243.11000553695,CA-MADDPG Seed 42 final,30
