training_seed,saved_episode,test_seed,selected_agent,success,reward,latency_ms,energy_mJ,selection_entropy,selection_gap,selected_cpu,selected_bandwidth
42,10,950001,uav_U1,0,-3.6438853792924104,1927.2918508253545,19468.159466881723,0.00772346370257458,0.9969513416290283,0.9967595338821411,0.9816833734512329
42,10,950001,uav_U1,1,1.2936112432154667,404.9612098071662,9409.772200613643,0.014170588997457616,0.9937547445297241,0.9974216818809509,0.9890285730361938
42,10,950001,uav_U1,0,-7.031443681121815,7096.097725165577,270258.24652507517,0.006698914873002713,0.9974624514579773,0.9966511726379395,0.9588562846183777
42,10,950001,uav_U1,0,-3.527274914183665,1702.042349133645,28748.49207073975,0.010108476292201145,0.9959549307823181,0.9975478649139404,0.988061785697937
42,10,950001,uav_U1,1,1.3742861800239312,246.59598146412358,5016.514469551955,0.013324633934829622,0.9938757419586182,0.9975351691246033,0.984500527381897
42,10,950001,uav_U1,1,1.0678993918802127,434.1688228542223,7248.544360158413,0.015924641625416017,0.9922374486923218,0.9973373413085938,0.9879286289215088
42,10,950001,uav_U1,0,-7.5000920060425535,1307.4088580534342,15571.533448952852,0.00947159167953334,0.9959918856620789,0.9969589114189148,0.9852685928344727
42,10,950001,uav_U1,0,-5.908700596347716,722.6249822370091,8071.728044504747,0.013904135018283664,0.9935203790664673,0.9977467060089111,0.9881241321563721
42,10,950001,uav_U1,1,0.5025838458861029,943.468217666722,9148.643319462288,0.008763818342616409,0.9963220953941345,0.997817873954773,0.9862586259841919
42,10,950001,uav_U1,0,-3.834597548384576,922.1427258096022,5459.649382771159,0.008649810066635316,0.9964379072189331,0.9974383115768433,0.9856784343719482
42,10,950001,uav_U1,1,1.371373523228844,230.077199433201,5834.1768307106795,0.011256801306113017,0.9951704740524292,0.9978747367858887,0.9864009022712708
42,10,950001,uav_U1,0,-4.034878258487982,1456.5124413261583,32237.272349687762,0.012893565420542055,0.9942594170570374,0.9975829124450684,0.9886776208877563
42,10,950001,uav_U1,0,-3.511092274422727,575.2589219379702,4857.68833950206,0.009693299335653608,0.9962237477302551,0.9974765777587891,0.9891357421875
42,10,950001,uav_U1,0,-4.056871634377822,1204.9476227732207,25995.76621164669,0.007254850018045838,0.997180163860321,0.9976070523262024,0.9775267839431763
42,10,950001,uav_U1,0,-7.500091974016664,7042.999393876736,88244.29896638937,0.005820251675995415,0.9978557825088501,0.9972470998764038,0.9744653701782227
42,10,950001,uav_U1,0,-4.745669345378186,1706.6389712467872,25800.229644422576,0.007022947335089349,0.997448742389679,0.9965713024139404,0.9772509932518005
42,10,950001,uav_U1,1,1.1390415862592405,493.30446850208125,8394.09413180745,0.012599529133184764,0.9942969679832458,0.9979574680328369,0.9879903197288513
42,10,950001,uav_U1,1,1.2826949484723151,395.762687293521,11209.990570103977,0.009281935705814467,0.9962553381919861,0.9981156587600708,0.9872190952301025
42,10,950001,uav_U1,0,-4.920670765456097,2662.6371774825493,75595.34038053938,0.007137987005120762,0.9972336292266846,0.9969691634178162,0.9729815721511841
42,10,950001,uav_U1,1,1.3279727031734918,93.53289502190316,2019.084098564035,0.009964890061666407,0.9959577322006226,0.9979730844497681,0.9866491556167603
42,10,950001,uav_U1,0,-7.500092145258598,3304.001986535007,37815.88648616892,0.005362013815612892,0.9980869293212891,0.9973808526992798,0.9754918813705444
42,10,950001,uav_U1,1,0.7068316124245397,1125.3750043331545,11599.040382838537,0.010495943937533265,0.9957469701766968,0.9975160956382751,0.9887812733650208
42,10,950001,uav_U1,1,0.7947045073932839,377.9891632702757,6874.4554510913595,0.010903064695377166,0.9952639937400818,0.997869074344635,0.985088586807251
42,10,950001,uav_U1,1,0.5375903666206625,773.7037080670027,22746.148788356095,0.015683675617800878,0.9926521182060242,0.9972752332687378,0.9853566884994507
42,10,950001,uav_U1,0,-6.012944726186426,2437.9191015184633,14295.266971634108,0.007368256445263449,0.9972270131111145,0.9972816705703735,0.9862163066864014
42,10,950001,uav_U1,1,0.864069176365523,1165.4928900242746,21320.121950999986,0.007242360847267101,0.9973378777503967,0.9974185228347778,0.9834243059158325
42,10,950001,uav_U1,0,-3.520753088986143,1785.1368807143056,27689.458310015016,0.006432775974599428,0.9977052807807922,0.9962856769561768,0.9795480370521545
42,10,950001,uav_U1,0,-4.203097289305899,1493.5354664026074,16283.393450416388,0.012849581115680842,0.9941866993904114,0.9974665641784668,0.9877413511276245
42,10,950001,uav_U1,0,-4.0881254270783565,2147.0216115564385,44359.07971951804,0.005871441582819942,0.9979538917541504,0.9973857402801514,0.9752908945083618
42,10,950001,uav_U1,0,-7.50009143301053,4853.644292329498,190497.6511351698,0.02058493133133417,0.9891230463981628,0.9971115589141846,0.9872242212295532
42,10,950001,uav_U1,0,-5.88162390208311,3171.877429097105,72339.08500306924,0.007451368200179506,0.9970977902412415,0.996225118637085,0.9680497646331787
42,10,950001,uav_U1,1,0.9184870475150195,29.075418254334036,729.1509139470502,0.013937422755672422,0.9935975074768066,0.9979175329208374,0.9873653650283813
42,10,950001,uav_U1,1,1.3106311367068495,178.8668956360292,4489.191994292346,0.010729115032937518,0.9956852793693542,0.9979177713394165,0.9883595705032349
42,10,950001,uav_U1,1,1.045460568330281,411.729445116298,6097.662283107285,0.009438190691033176,0.9961532354354858,0.9972801208496094,0.9850759506225586
42,10,950001,uav_U1,0,-4.55735487356111,1902.9683416529726,38514.22213019635,0.006859326982946593,0.9974521994590759,0.9977207779884338,0.976173460483551
